year,city,country,avg_temp,7 years MAs
1743,Memphis,United States,9.45,
1744,Memphis,United States,17.7,
1745,Memphis,United States,9.22,
1746,Memphis,United States,,
1747,Memphis,United States,,
1748,Memphis,United States,,
1749,Memphis,United States,,12.12 
1750,Memphis,United States,16.7,14.54 
1751,Memphis,United States,17.46,14.46 
1752,Memphis,United States,10.61,14.92 
1753,Memphis,United States,16.06,15.21 
1754,Memphis,United States,16.06,15.38 
1755,Memphis,United States,13.84,15.12 
1756,Memphis,United States,16.24,15.28 
1757,Memphis,United States,15.76,15.15 
1758,Memphis,United States,14.59,14.74 
1759,Memphis,United States,15.62,15.45 
1760,Memphis,United States,14.07,15.17 
1761,Memphis,United States,16.52,15.23 
1762,Memphis,United States,16.06,15.55 
1763,Memphis,United States,14.04,15.24 
1764,Memphis,United States,15.98,15.27 
1765,Memphis,United States,15.68,15.42 
1766,Memphis,United States,16.46,15.54 
1767,Memphis,United States,15.34,15.73 
1768,Memphis,United States,14.85,15.49 
1769,Memphis,United States,15.84,15.46 
1770,Memphis,United States,15.69,15.69 
1771,Memphis,United States,16.4,15.75 
1772,Memphis,United States,16.32,15.84 
1773,Memphis,United States,16.37,15.83 
1774,Memphis,United States,15.96,15.92 
1775,Memphis,United States,16.96,16.22 
1776,Memphis,United States,15.69,16.20 
1777,Memphis,United States,15.72,16.20 
1778,Memphis,United States,13.12,15.73 
1779,Memphis,United States,8.32,14.59 
1780,Memphis,United States,,14.30 
1781,Memphis,United States,16.13,14.32 
1782,Memphis,United States,15.71,14.12 
1783,Memphis,United States,15.5,14.08 
1784,Memphis,United States,15.58,14.06 
1785,Memphis,United States,15.28,14.42 
1786,Memphis,United States,15.85,15.68 
1787,Memphis,United States,15.9,15.71 
1788,Memphis,United States,16.29,15.73 
1789,Memphis,United States,16.07,15.78 
1790,Memphis,United States,15.95,15.85 
1791,Memphis,United States,16.22,15.94 
1792,Memphis,United States,15.76,16.01 
1793,Memphis,United States,16.13,16.05 
1794,Memphis,United States,16.28,16.10 
1795,Memphis,United States,16.12,16.08 
1796,Memphis,United States,15.96,16.06 
1797,Memphis,United States,15.9,16.05 
1798,Memphis,United States,16.53,16.10 
1799,Memphis,United States,16.29,16.17 
1800,Memphis,United States,16.11,16.17 
1801,Memphis,United States,16.44,16.19 
1802,Memphis,United States,16.61,16.26 
1803,Memphis,United States,16.46,16.33 
1804,Memphis,United States,16.51,16.42 
1805,Memphis,United States,16.52,16.42 
1806,Memphis,United States,16.19,16.41 
1807,Memphis,United States,15.97,16.39 
1808,Memphis,United States,15.77,16.29 
1809,Memphis,United States,14.94,16.05 
1810,Memphis,United States,15,15.84 
1811,Memphis,United States,15.17,15.65 
1812,Memphis,United States,14.57,15.37 
1813,Memphis,United States,15.6,15.29 
1814,Memphis,United States,15.4,15.21 
1815,Memphis,United States,15,15.10 
1816,Memphis,United States,14.52,15.04 
1817,Memphis,United States,14.69,14.99 
1818,Memphis,United States,15.45,15.03 
1819,Memphis,United States,15.18,15.12 
1820,Memphis,United States,15.14,15.05 
1821,Memphis,United States,15.26,15.03 
1822,Memphis,United States,16.14,15.20 
1823,Memphis,United States,15.61,15.35 
1824,Memphis,United States,16.06,15.55 
1825,Memphis,United States,16.67,15.72 
1826,Memphis,United States,16.23,15.87 
1827,Memphis,United States,16.86,16.12 
1828,Memphis,United States,17.17,16.39 
1829,Memphis,United States,16.11,16.39 
1830,Memphis,United States,17.21,16.62 
1831,Memphis,United States,15.24,16.50 
1832,Memphis,United States,16.28,16.44 
1833,Memphis,United States,16.55,16.49 
1834,Memphis,United States,16.96,16.50 
1835,Memphis,United States,15.27,16.23 
1836,Memphis,United States,14.94,16.06 
1837,Memphis,United States,15.84,15.87 
1838,Memphis,United States,14.97,15.83 
1839,Memphis,United States,16.02,15.79 
1840,Memphis,United States,16.16,15.74 
1841,Memphis,United States,16.02,15.60 
1842,Memphis,United States,16.43,15.77 
1843,Memphis,United States,15.46,15.84 
1844,Memphis,United States,16.4,15.92 
1845,Memphis,United States,16.07,16.08 
1846,Memphis,United States,16.41,16.14 
1847,Memphis,United States,15.35,16.02 
1848,Memphis,United States,15.75,15.98 
1849,Memphis,United States,15.96,15.91 
1850,Memphis,United States,16.08,16.00 
1851,Memphis,United States,15.92,15.93 
1852,Memphis,United States,15.72,15.88 
1853,Memphis,United States,15.66,15.78 
1854,Memphis,United States,16.86,15.99 
1855,Memphis,United States,16.07,16.04 
1856,Memphis,United States,14.75,15.87 
1857,Memphis,United States,14.75,15.68 
1858,Memphis,United States,16.05,15.69 
1859,Memphis,United States,15.83,15.71 
1860,Memphis,United States,16.43,15.82 
1861,Memphis,United States,16.32,15.74 
1862,Memphis,United States,16.45,15.80 
1863,Memphis,United States,15.49,15.90 
1864,Memphis,United States,15.11,15.95 
1865,Memphis,United States,16.21,15.98 
1866,Memphis,United States,15.64,15.95 
1867,Memphis,United States,16.03,15.89 
1868,Memphis,United States,15.27,15.74 
1869,Memphis,United States,15.07,15.55 
1870,Memphis,United States,15.71,15.58 
1871,Memphis,United States,16.43,15.77 
1872,Memphis,United States,15.11,15.61 
1873,Memphis,United States,15.33,15.56 
1874,Memphis,United States,16.51,15.63 
1875,Memphis,United States,15.21,15.62 
1876,Memphis,United States,15.59,15.70 
1877,Memphis,United States,15.85,15.72 
1878,Memphis,United States,16.39,15.71 
1879,Memphis,United States,16.39,15.90 
1880,Memphis,United States,16.21,16.02 
1881,Memphis,United States,16.75,16.06 
1882,Memphis,United States,16.83,16.29 
1883,Memphis,United States,16.26,16.38 
1884,Memphis,United States,15.79,16.37 
1885,Memphis,United States,15.1,16.19 
1886,Memphis,United States,14.92,15.98 
1887,Memphis,United States,16.24,15.98 
1888,Memphis,United States,15.45,15.80 
1889,Memphis,United States,15.87,15.66 
1890,Memphis,United States,16.76,15.73 
1891,Memphis,United States,15.82,15.74 
1892,Memphis,United States,15.3,15.77 
1893,Memphis,United States,15.6,15.86 
1894,Memphis,United States,15.9,15.81 
1895,Memphis,United States,15.22,15.78 
1896,Memphis,United States,16.64,15.89 
1897,Memphis,United States,16.51,15.86 
1898,Memphis,United States,16.01,15.88 
1899,Memphis,United States,15.69,15.94 
1900,Memphis,United States,16.22,16.03 
1901,Memphis,United States,15.31,15.94 
1902,Memphis,United States,15.86,16.03 
1903,Memphis,United States,15.28,15.84 
1904,Memphis,United States,15.68,15.72 
1905,Memphis,United States,15.42,15.64 
1906,Memphis,United States,15.83,15.66 
1907,Memphis,United States,16.4,15.68 
1908,Memphis,United States,16.66,15.88 
1909,Memphis,United States,16.47,15.96 
1910,Memphis,United States,15.78,16.03 
1911,Memphis,United States,17.1,16.24 
1912,Memphis,United States,15.18,16.20 
1913,Memphis,United States,16.41,16.29 
1914,Memphis,United States,16.12,16.25 
1915,Memphis,United States,16.01,16.15 
1916,Memphis,United States,16.12,16.10 
1917,Memphis,United States,14.95,15.98 
1918,Memphis,United States,16.3,15.87 
1919,Memphis,United States,16.44,16.05 
1920,Memphis,United States,15.6,15.93 
1921,Memphis,United States,17.79,16.17 
1922,Memphis,United States,17.04,16.32 
1923,Memphis,United States,16.18,16.33 
1924,Memphis,United States,15.46,16.40 
1925,Memphis,United States,17.13,16.52 
1926,Memphis,United States,16.05,16.46 
1927,Memphis,United States,17.2,16.69 
1928,Memphis,United States,15.97,16.43 
1929,Memphis,United States,15.95,16.28 
1930,Memphis,United States,16.37,16.30 
1931,Memphis,United States,16.84,16.50 
1932,Memphis,United States,16.57,16.42 
1933,Memphis,United States,17.31,16.60 
1934,Memphis,United States,16.82,16.55 
1935,Memphis,United States,16.33,16.60 
1936,Memphis,United States,16.38,16.66 
1937,Memphis,United States,16.11,16.62 
1938,Memphis,United States,17.32,16.69 
1939,Memphis,United States,16.86,16.73 
1940,Memphis,United States,15.08,16.41 
1941,Memphis,United States,16.73,16.40 
1942,Memphis,United States,16.28,16.39 
1943,Memphis,United States,16.53,16.42 
1944,Memphis,United States,16.58,16.48 
1945,Memphis,United States,16.28,16.33 
1946,Memphis,United States,16.9,16.34 
1947,Memphis,United States,15.89,16.46 
1948,Memphis,United States,16.08,16.36 
1949,Memphis,United States,16.8,16.44 
1950,Memphis,United States,16.09,16.37 
1951,Memphis,United States,16.47,16.36 
1952,Memphis,United States,16.71,16.42 
1953,Memphis,United States,17.08,16.45 
1954,Memphis,United States,17.45,16.67 
1955,Memphis,United States,16.62,16.75 
1956,Memphis,United States,16.96,16.77 
1957,Memphis,United States,16.65,16.85 
1958,Memphis,United States,15.33,16.69 
1959,Memphis,United States,16.44,16.65 
1960,Memphis,United States,15.58,16.43 
1961,Memphis,United States,15.87,16.21 
1962,Memphis,United States,16.42,16.18 
1963,Memphis,United States,15.94,16.03 
1964,Memphis,United States,16.48,16.01 
1965,Memphis,United States,16.75,16.21 
1966,Memphis,United States,15.81,16.12 
1967,Memphis,United States,16.06,16.19 
1968,Memphis,United States,15.55,16.14 
1969,Memphis,United States,15.84,16.06 
1970,Memphis,United States,16.13,16.09 
1971,Memphis,United States,16.5,16.09 
1972,Memphis,United States,16.28,16.02 
1973,Memphis,United States,16.79,16.16 
1974,Memphis,United States,16.39,16.21 
1975,Memphis,United States,16.4,16.33 
1976,Memphis,United States,15.43,16.27 
1977,Memphis,United States,16.55,16.33 
1978,Memphis,United States,15.7,16.22 
1979,Memphis,United States,15.33,16.08 
1980,Memphis,United States,16.31,16.02 
1981,Memphis,United States,16.32,16.01 
1982,Memphis,United States,16.39,16.00 
1983,Memphis,United States,15.77,16.05 
1984,Memphis,United States,16.48,16.04 
1985,Memphis,United States,16.23,16.12 
1986,Memphis,United States,17.18,16.38 
1987,Memphis,United States,16.89,16.47 
1988,Memphis,United States,16.13,16.44 
1989,Memphis,United States,15.84,16.36 
1990,Memphis,United States,17.45,16.60 
1991,Memphis,United States,17.12,16.69 
1992,Memphis,United States,16.19,16.69 
1993,Memphis,United States,16.09,16.53 
